Finance_ID,Farmer_ID,Loan_Purpose,Loan_Amount,Interest_Rate,Tenure_Months,Loan_Approval_Status,Repayment_Status,Credit Bureau Default_History,Source_of_Funding
LOAN_227315,FARMER_684,Land Expansion,257931,6.42,18,Approved,Fully Paid,False,Government
LOAN_f51f34,FARMER_685,Irrigation,330739,14.32,18,Approved,Fully Paid,False,NGO
LOAN_5ceaa6,FARMER_686,Labor,374837,23.74,24,Approved,Partially Paid,False,Bank
LOAN_4c5d7d,FARMER_687,Labor,259777,16.29,18,Approved,Partially Paid,False,Microfinance
LOAN_e83be3,FARMER_688,Irrigation,413089,20.18,24,Approved,Fully Paid,False,NGO
LOAN_3bd3aa,FARMER_689,Irrigation,69612,14.39,24,Approved,Fully Paid,True,Microfinance
LOAN_d8df7a,FARMER_690,Land Expansion,376649,12.68,6,Approved,Fully Paid,False,Bank
LOAN_9b963b,FARMER_691,Labor,476910,21.44,12,Approved,Fully Paid,False,Bank
LOAN_71f134,FARMER_692,Irrigation,449038,14.27,12,Approved,Defaulted,True,Government
LOAN_67d386,FARMER_693,Fertilizer,462521,7.83,18,Rejected,,False,Bank
LOAN_1ab2f8,FARMER_694,Land Expansion,225477,10.49,18,Approved,Partially Paid,True,Bank
LOAN_e98700,FARMER_695,Land Expansion,424001,16.23,12,Rejected,,False,Bank
LOAN_9f433e,FARMER_696,Fertilizer,410157,13.05,24,Rejected,,False,Microfinance
LOAN_144a5a,FARMER_697,Labor,261834,12.33,12,Approved,Partially Paid,False,Bank
LOAN_4b675f,FARMER_698,Irrigation,335863,18.38,24,Rejected,,False,Microfinance
LOAN_d00025,FARMER_699,Irrigation,369608,17.73,24,Approved,Defaulted,False,NGO
LOAN_97f594,FARMER_700,Labor,231189,11.28,18,Approved,Fully Paid,False,NGO
LOAN_fbfb16,FARMER_701,Fertilizer,306001,12.19,18,Approved,Fully Paid,False,Microfinance
LOAN_006062,FARMER_702,Fertilizer,283589,20.04,18,Approved,Fully Paid,True,Microfinance
LOAN_d45812,FARMER_703,Fertilizer,184791,23.43,12,Approved,Partially Paid,True,Bank
LOAN_4c79d6,FARMER_704,Land Expansion,135833,11.48,12,Rejected,,False,Bank
LOAN_c03b85,FARMER_705,Irrigation,390606,10.84,12,Rejected,,True,Microfinance
LOAN_1ff08b,FARMER_706,Equipment,111168,10.31,24,Approved,Defaulted,True,Government
LOAN_ed3e83,FARMER_707,Land Expansion,147786,7.83,18,Approved,Fully Paid,False,Government
LOAN_4edeca,FARMER_708,Land Expansion,226501,12.54,6,Approved,Partially Paid,False,Government
LOAN_d86c93,FARMER_709,Irrigation,495547,15.32,12,Approved,Defaulted,False,NGO
LOAN_28c3bc,FARMER_710,Labor,479354,15.75,6,Approved,Fully Paid,False,Bank
LOAN_27c5eb,FARMER_711,Irrigation,176384,18.82,6,Rejected,,False,Microfinance
LOAN_bdb7eb,FARMER_712,Labor,474047,6.05,12,Approved,Fully Paid,False,NGO
LOAN_f5a2b1,FARMER_713,Irrigation,360677,16.23,12,Approved,Fully Paid,True,NGO
LOAN_8b6ab8,FARMER_714,Land Expansion,146755,10.1,12,Approved,Defaulted,False,Bank
LOAN_c87bb5,FARMER_715,Fertilizer,400882,9.78,18,Rejected,,True,Microfinance
LOAN_17c94b,FARMER_716,Land Expansion,268898,20.79,6,Approved,Partially Paid,False,Government
LOAN_54e3a1,FARMER_717,Land Expansion,191187,8.07,24,Rejected,,False,Bank
LOAN_a485b9,FARMER_718,Equipment,333666,11.58,6,Approved,Partially Paid,False,NGO
LOAN_13e961,FARMER_719,Land Expansion,282467,17.75,24,Rejected,,True,NGO
LOAN_52ac0e,FARMER_720,Land Expansion,59968,17.86,6,Approved,Partially Paid,False,NGO
LOAN_e0e2e4,FARMER_721,Land Expansion,365952,5.96,6,Approved,Fully Paid,False,NGO
LOAN_753646,FARMER_722,Equipment,168265,6.45,18,Approved,Partially Paid,False,Government
LOAN_c2249e,FARMER_723,Labor,72681,18.11,24,Rejected,,False,Microfinance
LOAN_9dccda,FARMER_724,Equipment,280914,24.06,12,Approved,Defaulted,True,Government
LOAN_6d0d11,FARMER_725,Fertilizer,69251,24.97,12,Approved,Partially Paid,False,NGO
LOAN_2c213b,FARMER_726,Labor,348461,24.74,18,Approved,Defaulted,True,Microfinance
LOAN_c4334b,FARMER_727,Equipment,105679,12.03,12,Approved,Fully Paid,False,Bank
LOAN_704256,FARMER_728,Fertilizer,480760,9.84,6,Approved,Partially Paid,True,Bank
LOAN_e842b2,FARMER_729,Fertilizer,492546,6.97,18,Approved,Fully Paid,False,Government
LOAN_33068e,FARMER_730,Irrigation,206262,11.52,24,Approved,Defaulted,False,Bank
LOAN_49f109,FARMER_731,Irrigation,379434,10.54,18,Rejected,,False,NGO
LOAN_e85cf9,FARMER_732,Land Expansion,434527,16.54,6,Approved,Fully Paid,True,Microfinance
LOAN_f3246c,FARMER_733,Labor,451454,12.38,18,Approved,Partially Paid,False,Microfinance
LOAN_9b2ec7,FARMER_734,Equipment,189087,9.63,6,Approved,Defaulted,True,Government
LOAN_39855c,FARMER_735,Land Expansion,302461,17.25,18,Approved,Fully Paid,False,Microfinance
LOAN_7f0ffc,FARMER_736,Labor,225715,11.46,24,Rejected,,False,Bank
LOAN_f014c3,FARMER_737,Irrigation,236550,12.07,24,Approved,Partially Paid,False,Government
LOAN_e7196e,FARMER_738,Equipment,122033,16.97,12,Approved,Fully Paid,False,NGO
LOAN_31e487,FARMER_739,Fertilizer,468007,7.36,6,Approved,Fully Paid,False,Government
LOAN_3535f8,FARMER_740,Fertilizer,364235,20.48,12,Rejected,,False,Bank
LOAN_08011a,FARMER_741,Land Expansion,325878,24.31,18,Rejected,,False,Bank
LOAN_0aceb1,FARMER_742,Land Expansion,367061,14.82,18,Approved,Partially Paid,False,Bank
LOAN_5da818,FARMER_743,Equipment,364172,16.2,18,Approved,Fully Paid,True,Government
LOAN_baf094,FARMER_744,Fertilizer,491352,12.69,18,Rejected,,False,Government
LOAN_e1feb7,FARMER_745,Land Expansion,337956,24.13,24,Approved,Partially Paid,False,Microfinance
LOAN_72a0b9,FARMER_746,Fertilizer,344026,7.66,18,Approved,Fully Paid,False,Government
LOAN_04e02f,FARMER_747,Irrigation,83775,21.27,24,Rejected,,False,NGO
LOAN_0c6f62,FARMER_748,Land Expansion,185901,18.01,12,Approved,Fully Paid,False,Government
LOAN_eeb246,FARMER_749,Labor,482448,20.83,24,Approved,Fully Paid,False,Microfinance
LOAN_582e92,FARMER_750,Land Expansion,338858,24.01,24,Approved,Fully Paid,False,NGO
LOAN_efdabc,FARMER_751,Irrigation,144522,14.92,6,Approved,Fully Paid,True,NGO
LOAN_c647f7,FARMER_752,Equipment,215999,10.77,18,Rejected,,False,Government
LOAN_538d5b,FARMER_753,Fertilizer,328506,20.59,18,Approved,Partially Paid,False,Microfinance
LOAN_d9871c,FARMER_754,Equipment,346198,21.89,18,Approved,Defaulted,False,Microfinance
LOAN_fa26c0,FARMER_755,Land Expansion,140479,18.73,12,Rejected,,False,NGO
LOAN_a7583d,FARMER_756,Labor,439948,21.98,18,Approved,Partially Paid,False,NGO
LOAN_f9f300,FARMER_757,Equipment,317064,19.61,18,Rejected,,False,Microfinance
LOAN_b2f69a,FARMER_758,Labor,283301,24.15,18,Rejected,,False,Bank
LOAN_fcaa19,FARMER_759,Land Expansion,309667,16.41,6,Approved,Fully Paid,False,Bank
LOAN_a7b2c7,FARMER_760,Labor,458108,12.61,24,Approved,Partially Paid,False,Government
LOAN_dfc6f3,FARMER_761,Labor,151420,18.61,6,Rejected,,True,Microfinance
LOAN_98a888,FARMER_762,Irrigation,460894,6.38,18,Approved,Defaulted,False,NGO
LOAN_a07c4a,FARMER_763,Equipment,277822,14.97,24,Approved,Fully Paid,False,Bank
LOAN_7afd75,FARMER_764,Land Expansion,479960,20.47,6,Rejected,,False,NGO
LOAN_24525f,FARMER_765,Irrigation,302625,8.38,18,Approved,Fully Paid,False,NGO
LOAN_7c5132,FARMER_766,Labor,491005,13.01,18,Approved,Defaulted,False,Microfinance
LOAN_03e098,FARMER_767,Irrigation,400454,12.01,6,Rejected,,True,NGO
LOAN_5be733,FARMER_768,Irrigation,246781,11.7,24,Approved,Fully Paid,False,Microfinance
LOAN_034f66,FARMER_769,Labor,62323,18.01,24,Approved,Fully Paid,False,NGO
LOAN_03368d,FARMER_770,Land Expansion,111741,14.95,6,Rejected,,False,Bank
LOAN_3f38f2,FARMER_771,Fertilizer,279161,20.95,18,Approved,Partially Paid,False,Microfinance
LOAN_e3b5f4,FARMER_772,Irrigation,270317,6.16,24,Approved,Partially Paid,False,NGO
LOAN_a77ee5,FARMER_773,Equipment,303578,14.08,6,Approved,Defaulted,False,Government
LOAN_341311,FARMER_774,Labor,251589,5.28,6,Rejected,,True,Government
LOAN_f41782,FARMER_775,Fertilizer,53834,9.42,6,Approved,Defaulted,False,Government
LOAN_e3611d,FARMER_776,Irrigation,183501,20.51,24,Approved,Fully Paid,False,Government
LOAN_de64bb,FARMER_777,Labor,129725,7.12,12,Approved,Partially Paid,False,Bank
LOAN_e4f45d,FARMER_778,Labor,236791,7.11,12,Approved,Partially Paid,False,Bank
LOAN_da278f,FARMER_779,Irrigation,489974,13.03,12,Approved,Fully Paid,False,Government
LOAN_187d13,FARMER_780,Equipment,254070,20.54,12,Approved,Partially Paid,True,NGO
LOAN_b1c7df,FARMER_781,Labor,370180,17.76,12,Rejected,,False,Bank
LOAN_c2463a,FARMER_782,Labor,308642,20.64,18,Approved,Partially Paid,True,Government
LOAN_707656,FARMER_783,Irrigation,77605,5.99,6,Rejected,,False,Bank
LOAN_6bfd01,FARMER_784,Fertilizer,163054,16.27,12,Approved,Defaulted,False,Bank
LOAN_94e15c,FARMER_785,Labor,280249,14.07,24,Approved,Fully Paid,False,NGO
LOAN_254631,FARMER_786,Labor,111758,22.92,6,Rejected,,True,NGO
LOAN_384601,FARMER_787,Irrigation,266088,19.75,24,Approved,Fully Paid,False,Microfinance
LOAN_208945,FARMER_788,Labor,435781,13.49,24,Approved,Fully Paid,False,NGO
LOAN_4c68f6,FARMER_789,Irrigation,397688,16.08,24,Approved,Partially Paid,False,Government
LOAN_6a79c3,FARMER_790,Equipment,55553,13.5,18,Rejected,,False,Microfinance
LOAN_e8640f,FARMER_791,Irrigation,387978,13.82,24,Approved,Fully Paid,False,Government
LOAN_9c2e38,FARMER_792,Fertilizer,193536,17.68,6,Approved,Fully Paid,False,NGO
LOAN_27081b,FARMER_793,Labor,149869,9.33,6,Approved,Defaulted,False,NGO
LOAN_e44cbf,FARMER_794,Equipment,429948,11.66,18,Rejected,,False,Bank
LOAN_d8d36c,FARMER_795,Labor,258323,10.58,18,Rejected,,False,Government
LOAN_9143bf,FARMER_796,Labor,58500,21.02,6,Approved,Partially Paid,False,Microfinance
LOAN_442660,FARMER_797,Irrigation,74729,23.84,6,Approved,Fully Paid,False,NGO
LOAN_106183,FARMER_798,Labor,468758,13.29,24,Rejected,,False,Microfinance
LOAN_954411,FARMER_799,Equipment,295287,6.54,24,Rejected,,False,NGO
LOAN_2365cf,FARMER_800,Land Expansion,146239,6.87,18,Approved,Fully Paid,False,NGO
LOAN_2a2eb1,FARMER_801,Labor,182235,12.99,12,Approved,Partially Paid,False,Bank
LOAN_2d4e68,FARMER_802,Irrigation,101968,12.9,24,Rejected,,False,Microfinance
LOAN_c76fd2,FARMER_803,Fertilizer,107728,7.92,24,Approved,Partially Paid,False,NGO
LOAN_4bfe24,FARMER_804,Labor,422359,21.14,12,Approved,Defaulted,False,NGO
LOAN_404880,FARMER_805,Irrigation,101947,15.0,24,Approved,Partially Paid,False,Bank
LOAN_5804f6,FARMER_806,Labor,144831,7.18,12,Rejected,,False,NGO
LOAN_81e760,FARMER_807,Land Expansion,411504,6.97,12,Approved,Partially Paid,False,Bank
LOAN_8e0fd6,FARMER_808,Land Expansion,92691,13.92,6,Approved,Fully Paid,True,Bank
LOAN_6288b1,FARMER_809,Equipment,323778,7.34,12,Approved,Partially Paid,False,Bank
LOAN_cc1592,FARMER_810,Land Expansion,65719,16.22,12,Approved,Fully Paid,False,NGO
LOAN_23174c,FARMER_811,Irrigation,59861,12.7,18,Approved,Fully Paid,False,Bank
LOAN_bc45da,FARMER_812,Land Expansion,176907,23.39,18,Approved,Partially Paid,False,Microfinance
LOAN_b9c922,FARMER_813,Irrigation,446990,13.38,18,Approved,Fully Paid,False,Microfinance
LOAN_2380ad,FARMER_814,Labor,51459,17.29,24,Approved,Fully Paid,True,Microfinance
LOAN_f65c3d,FARMER_815,Equipment,293586,21.23,18,Approved,Fully Paid,True,Microfinance
LOAN_b9c509,FARMER_816,Equipment,244382,11.06,6,Approved,Partially Paid,False,Bank
LOAN_de231e,FARMER_817,Land Expansion,156437,15.24,6,Rejected,,False,Government
LOAN_ff93d1,FARMER_818,Fertilizer,312149,7.42,6,Rejected,,False,NGO
LOAN_9ecc24,FARMER_819,Land Expansion,178804,13.66,24,Approved,Partially Paid,False,NGO
LOAN_0e6636,FARMER_820,Fertilizer,122474,12.52,12,Rejected,,False,Government
LOAN_d69adf,FARMER_821,Land Expansion,254776,13.56,12,Rejected,,False,Government
LOAN_f61237,FARMER_822,Irrigation,320253,7.15,6,Rejected,,False,NGO
LOAN_0ce55c,FARMER_823,Irrigation,53829,12.97,12,Approved,Fully Paid,False,NGO
LOAN_ae0198,FARMER_824,Fertilizer,326292,22.41,12,Rejected,,False,Government
LOAN_2fc0ff,FARMER_825,Equipment,235574,23.74,12,Approved,Defaulted,False,Microfinance
LOAN_952bf4,FARMER_826,Fertilizer,219360,9.83,24,Approved,Fully Paid,False,Bank
LOAN_8519b8,FARMER_827,Labor,204326,11.01,12,Approved,Fully Paid,False,NGO
LOAN_46a8b3,FARMER_828,Equipment,59077,5.19,12,Approved,Fully Paid,False,NGO
LOAN_7b3ee0,FARMER_829,Fertilizer,150374,7.31,24,Approved,Defaulted,True,NGO
LOAN_38aac6,FARMER_830,Labor,482934,11.9,18,Approved,Defaulted,False,Microfinance
LOAN_051f90,FARMER_831,Labor,410608,18.7,6,Rejected,,False,Microfinance
LOAN_9266f5,FARMER_832,Land Expansion,92177,10.84,24,Approved,Defaulted,False,NGO
LOAN_a5bcf2,FARMER_833,Fertilizer,66551,6.51,24,Approved,Defaulted,True,Microfinance
LOAN_57ba3f,FARMER_834,Irrigation,152216,19.62,6,Approved,Partially Paid,False,NGO
LOAN_6a8ca0,FARMER_835,Land Expansion,429434,14.34,12,Approved,Partially Paid,True,Bank
LOAN_3bbf88,FARMER_836,Equipment,316583,15.38,12,Rejected,,False,Microfinance
LOAN_4cf60d,FARMER_837,Irrigation,398171,11.52,24,Approved,Partially Paid,False,Bank
LOAN_ee770c,FARMER_838,Labor,266597,17.26,18,Approved,Fully Paid,False,Government
LOAN_e880c0,FARMER_839,Equipment,387425,22.82,6,Approved,Partially Paid,False,NGO
LOAN_79118a,FARMER_840,Land Expansion,165137,16.08,18,Approved,Defaulted,False,Microfinance
LOAN_9274e8,FARMER_841,Labor,218509,16.75,24,Approved,Partially Paid,False,Bank
LOAN_c2ad02,FARMER_842,Labor,309772,12.47,18,Approved,Fully Paid,False,Microfinance
LOAN_2ffa8e,FARMER_843,Labor,234251,6.65,24,Approved,Fully Paid,False,Government
LOAN_919454,FARMER_844,Irrigation,466334,13.57,6,Rejected,,False,Bank
LOAN_0ad808,FARMER_845,Land Expansion,396601,23.49,18,Rejected,,False,Government
LOAN_20e0f9,FARMER_846,Land Expansion,129014,18.6,18,Approved,Partially Paid,False,Government
LOAN_d35897,FARMER_847,Irrigation,279320,14.8,6,Rejected,,False,Bank
LOAN_6e81f3,FARMER_848,Land Expansion,282085,17.42,6,Rejected,,False,Microfinance
LOAN_40684f,FARMER_849,Labor,374048,16.17,24,Approved,Fully Paid,False,Bank
LOAN_d64336,FARMER_850,Labor,397021,23.25,24,Rejected,,False,Government
LOAN_f5327f,FARMER_851,Labor,129582,9.48,24,Rejected,,False,NGO
LOAN_38b311,FARMER_852,Land Expansion,52664,22.77,24,Rejected,,False,Bank
LOAN_9ff620,FARMER_853,Fertilizer,477773,18.77,24,Approved,Partially Paid,False,NGO
LOAN_20f8ae,FARMER_854,Equipment,103254,7.55,6,Approved,Partially Paid,False,Microfinance
LOAN_479f48,FARMER_855,Fertilizer,294718,12.44,18,Rejected,,True,Bank
LOAN_d1d54e,FARMER_856,Irrigation,184306,13.73,12,Approved,Fully Paid,True,NGO
LOAN_1ac25d,FARMER_857,Fertilizer,294513,6.66,12,Approved,Fully Paid,False,Government
LOAN_cc0bc3,FARMER_858,Fertilizer,96274,16.08,24,Approved,Fully Paid,False,Microfinance
LOAN_b74158,FARMER_859,Irrigation,492686,10.19,12,Approved,Defaulted,False,NGO
LOAN_6e74fe,FARMER_860,Fertilizer,68561,14.16,18,Approved,Partially Paid,False,Microfinance
LOAN_dd7ec6,FARMER_861,Equipment,256956,13.78,18,Approved,Partially Paid,True,Bank
LOAN_19a8ff,FARMER_862,Land Expansion,179242,15.43,24,Approved,Defaulted,False,NGO
LOAN_476b14,FARMER_863,Irrigation,224585,21.92,12,Approved,Fully Paid,False,Bank
LOAN_d72c72,FARMER_864,Fertilizer,178830,20.62,6,Approved,Fully Paid,True,Bank
LOAN_df5f0f,FARMER_865,Labor,406595,22.46,6,Approved,Fully Paid,False,Government
LOAN_745986,FARMER_866,Labor,421125,16.45,24,Approved,Fully Paid,False,NGO
LOAN_e507fb,FARMER_867,Irrigation,324738,17.32,18,Approved,Fully Paid,False,NGO
LOAN_f09ccf,FARMER_868,Labor,80504,13.61,12,Approved,Fully Paid,False,NGO
LOAN_387f33,FARMER_869,Equipment,444116,19.34,18,Approved,Partially Paid,False,Microfinance
LOAN_debd1e,FARMER_870,Fertilizer,436644,9.1,24,Approved,Fully Paid,False,Microfinance
LOAN_50306c,FARMER_871,Equipment,483406,14.5,18,Rejected,,False,Microfinance
LOAN_221bd4,FARMER_872,Equipment,290966,19.28,12,Rejected,,False,Microfinance
LOAN_d4a4a0,FARMER_873,Land Expansion,310504,20.56,18,Approved,Fully Paid,True,NGO
LOAN_9fa0cd,FARMER_874,Fertilizer,83516,9.96,24,Approved,Fully Paid,False,NGO
LOAN_a1b733,FARMER_875,Irrigation,236368,8.63,6,Rejected,,False,Microfinance
LOAN_9ab008,FARMER_876,Labor,366168,10.77,6,Approved,Fully Paid,False,Government
LOAN_ad3694,FARMER_877,Land Expansion,250897,23.4,12,Approved,Partially Paid,False,NGO
LOAN_5574de,FARMER_878,Equipment,245522,7.58,24,Approved,Fully Paid,False,Microfinance
LOAN_3f901a,FARMER_879,Labor,417979,24.06,24,Approved,Partially Paid,False,Bank
LOAN_134500,FARMER_880,Fertilizer,293556,24.9,18,Approved,Partially Paid,False,Government
LOAN_913865,FARMER_881,Equipment,474057,20.67,6,Approved,Partially Paid,True,NGO
LOAN_0aaf30,FARMER_882,Equipment,257211,20.21,12,Approved,Defaulted,True,Government
LOAN_b5332f,FARMER_883,Fertilizer,345939,24.07,12,Approved,Fully Paid,False,Microfinance
LOAN_2e4acd,FARMER_884,Irrigation,259044,10.81,12,Approved,Defaulted,False,Bank
LOAN_69f07f,FARMER_885,Land Expansion,487308,7.58,18,Approved,Fully Paid,False,Bank
LOAN_372540,FARMER_886,Fertilizer,175721,21.46,24,Approved,Partially Paid,True,Microfinance
LOAN_49482a,FARMER_887,Labor,411588,8.42,12,Approved,Fully Paid,False,Government
LOAN_65618c,FARMER_888,Labor,164347,5.91,18,Approved,Fully Paid,False,NGO
LOAN_d1025b,FARMER_889,Equipment,491165,8.93,12,Approved,Fully Paid,True,Microfinance
LOAN_2dc89b,FARMER_890,Land Expansion,156733,13.76,18,Approved,Fully Paid,False,Government
LOAN_200116,FARMER_891,Irrigation,145369,14.9,6,Rejected,,False,Microfinance
LOAN_0fb353,FARMER_892,Irrigation,333353,6.25,18,Approved,Fully Paid,False,Bank
LOAN_e1de80,FARMER_893,Labor,54553,13.87,24,Rejected,,False,NGO
LOAN_b4d679,FARMER_894,Irrigation,159028,17.09,6,Approved,Fully Paid,False,Microfinance
LOAN_dcdd54,FARMER_895,Labor,80714,23.64,6,Approved,Defaulted,True,Bank
LOAN_e95c79,FARMER_896,Land Expansion,196513,9.55,12,Approved,Defaulted,False,Microfinance
LOAN_5d57f2,FARMER_897,Equipment,100906,9.22,6,Approved,Fully Paid,True,Bank
LOAN_6026ab,FARMER_898,Labor,73376,12.79,18,Approved,Defaulted,False,Bank
LOAN_333ba5,FARMER_899,Land Expansion,275993,24.67,24,Rejected,,False,NGO
LOAN_f0bed3,FARMER_900,Labor,84378,11.72,6,Approved,Partially Paid,False,Bank
LOAN_cca992,FARMER_901,Fertilizer,152743,5.88,24,Approved,Partially Paid,True,NGO
LOAN_115287,FARMER_902,Labor,325794,10.31,18,Approved,Defaulted,False,NGO
LOAN_61c7f4,FARMER_903,Land Expansion,441403,16.17,18,Approved,Partially Paid,False,Bank
LOAN_d71a67,FARMER_904,Irrigation,370975,13.25,24,Approved,Partially Paid,False,Bank
LOAN_b55eab,FARMER_905,Labor,54758,20.48,18,Approved,Defaulted,False,NGO
LOAN_6e2e65,FARMER_906,Equipment,433351,17.15,24,Approved,Partially Paid,False,Microfinance
LOAN_227e83,FARMER_907,Land Expansion,405450,16.19,12,Rejected,,True,Microfinance
LOAN_2f6542,FARMER_908,Irrigation,458523,11.46,18,Approved,Partially Paid,False,Microfinance
LOAN_3212cd,FARMER_909,Land Expansion,410693,16.04,12,Approved,Fully Paid,False,Government
LOAN_1119e7,FARMER_910,Labor,190541,17.31,6,Approved,Partially Paid,False,Bank
LOAN_2fa4ce,FARMER_911,Fertilizer,261509,8.58,6,Approved,Fully Paid,False,NGO
LOAN_7b881d,FARMER_912,Fertilizer,253666,19.72,12,Approved,Fully Paid,False,Government
LOAN_25f0e5,FARMER_913,Equipment,453736,12.86,6,Rejected,,False,Bank
LOAN_b6e1c7,FARMER_914,Equipment,229852,19.85,6,Approved,Fully Paid,False,NGO
LOAN_c68ae7,FARMER_915,Irrigation,248164,8.55,6,Approved,Partially Paid,False,Bank
LOAN_9133ea,FARMER_916,Fertilizer,231781,18.13,6,Approved,Fully Paid,False,Microfinance
LOAN_fcd695,FARMER_917,Labor,281598,5.54,18,Rejected,,True,Government
LOAN_fa7fcc,FARMER_918,Land Expansion,473102,8.18,6,Approved,Partially Paid,False,NGO
LOAN_5c2a44,FARMER_919,Land Expansion,167020,22.82,18,Approved,Fully Paid,True,Bank
LOAN_2a4b43,FARMER_920,Fertilizer,386176,14.23,24,Approved,Fully Paid,True,NGO
LOAN_04fa0f,FARMER_921,Fertilizer,421562,15.16,6,Approved,Partially Paid,False,NGO
LOAN_6b1874,FARMER_922,Land Expansion,173286,23.15,24,Approved,Defaulted,True,NGO
LOAN_988c3e,FARMER_923,Irrigation,99146,14.7,12,Approved,Fully Paid,False,Microfinance
LOAN_d09945,FARMER_924,Land Expansion,373915,18.09,12,Approved,Partially Paid,False,NGO
LOAN_400aec,FARMER_925,Equipment,175232,9.44,18,Approved,Fully Paid,False,Government
LOAN_5a9aee,FARMER_926,Labor,338757,6.63,12,Approved,Fully Paid,False,Government
LOAN_e45417,FARMER_927,Fertilizer,151270,12.07,18,Approved,Partially Paid,False,Bank
LOAN_b38e99,FARMER_928,Fertilizer,195156,20.97,24,Rejected,,False,Bank
LOAN_ce6f95,FARMER_929,Irrigation,191980,13.94,24,Approved,Defaulted,True,NGO
LOAN_aad8af,FARMER_930,Equipment,77396,8.36,6,Rejected,,False,Microfinance
LOAN_937786,FARMER_931,Land Expansion,357750,15.9,24,Rejected,,False,Government
LOAN_d9a290,FARMER_932,Equipment,381682,10.28,12,Approved,Defaulted,False,NGO
LOAN_28128e,FARMER_933,Equipment,313504,23.93,18,Approved,Fully Paid,False,Government
LOAN_9e5eb8,FARMER_934,Irrigation,255853,16.55,18,Approved,Fully Paid,False,Bank
LOAN_82151f,FARMER_935,Irrigation,427271,24.66,6,Rejected,,False,Microfinance
LOAN_4fad84,FARMER_936,Land Expansion,185425,5.86,6,Rejected,,True,Government
LOAN_bc5006,FARMER_937,Land Expansion,394846,5.23,12,Approved,Partially Paid,False,Bank
LOAN_5bfd7b,FARMER_938,Labor,478594,14.54,18,Approved,Fully Paid,True,Government
LOAN_dd17fc,FARMER_939,Equipment,125542,22.24,6,Rejected,,False,NGO
LOAN_af788a,FARMER_940,Land Expansion,338793,15.49,24,Approved,Defaulted,True,Government
LOAN_5c181b,FARMER_941,Irrigation,433498,22.52,12,Rejected,,False,Government
LOAN_6be108,FARMER_942,Labor,126159,7.61,24,Approved,Fully Paid,False,NGO
LOAN_338d5a,FARMER_943,Labor,196967,18.99,18,Rejected,,False,Microfinance
LOAN_43429f,FARMER_944,Irrigation,464088,18.2,6,Approved,Fully Paid,False,Microfinance
LOAN_dd3f35,FARMER_945,Land Expansion,107805,15.9,12,Approved,Partially Paid,True,NGO
LOAN_593997,FARMER_946,Irrigation,428583,13.1,12,Approved,Defaulted,True,Microfinance
LOAN_ccbfb9,FARMER_947,Land Expansion,83606,17.94,6,Rejected,,False,Microfinance
LOAN_1c4bad,FARMER_948,Irrigation,430041,16.0,6,Approved,Partially Paid,False,NGO
LOAN_715e0d,FARMER_949,Irrigation,380464,10.45,18,Approved,Partially Paid,True,Government
LOAN_e13521,FARMER_950,Fertilizer,377520,7.09,24,Rejected,,True,Microfinance
LOAN_3840d6,FARMER_951,Land Expansion,242621,12.73,24,Rejected,,False,Bank
LOAN_626965,FARMER_952,Equipment,399658,15.25,24,Approved,Fully Paid,False,Bank
LOAN_d396e6,FARMER_953,Fertilizer,182423,15.17,18,Approved,Partially Paid,False,NGO
LOAN_1312ec,FARMER_954,Fertilizer,115741,13.51,6,Approved,Partially Paid,False,Bank
LOAN_a6c714,FARMER_955,Fertilizer,493462,11.55,12,Rejected,,False,Bank
LOAN_3453b7,FARMER_956,Fertilizer,177185,12.01,24,Approved,Partially Paid,False,NGO
LOAN_c67f46,FARMER_957,Equipment,459784,10.32,6,Approved,Partially Paid,True,Bank
LOAN_b9a5a2,FARMER_958,Fertilizer,400809,16.6,24,Approved,Fully Paid,False,Bank
LOAN_ce1987,FARMER_959,Equipment,122438,22.0,18,Approved,Partially Paid,True,Government
LOAN_ec18d6,FARMER_960,Equipment,350414,22.59,18,Approved,Fully Paid,False,NGO
LOAN_647877,FARMER_961,Fertilizer,374474,24.87,6,Approved,Fully Paid,False,Microfinance
LOAN_3d678f,FARMER_962,Labor,259294,6.78,18,Approved,Defaulted,False,NGO
LOAN_ad4a4c,FARMER_963,Equipment,425690,9.29,12,Rejected,,True,Bank
LOAN_e1c919,FARMER_964,Fertilizer,104930,19.6,18,Approved,Partially Paid,False,Bank
LOAN_340afa,FARMER_965,Irrigation,249337,17.9,12,Approved,Fully Paid,False,Microfinance
LOAN_d7c86b,FARMER_966,Irrigation,243489,7.68,24,Approved,Defaulted,True,Microfinance
LOAN_6abd0c,FARMER_967,Land Expansion,292833,17.62,18,Rejected,,False,Government
LOAN_fb1307,FARMER_968,Equipment,266085,13.13,12,Rejected,,False,Bank
LOAN_7ea4a6,FARMER_969,Equipment,197032,24.14,24,Approved,Fully Paid,True,Bank
LOAN_7f49f7,FARMER_970,Irrigation,488133,22.1,24,Rejected,,True,Bank
LOAN_e79d48,FARMER_971,Equipment,462339,6.46,24,Approved,Partially Paid,False,Government
LOAN_8c79c6,FARMER_972,Equipment,441467,6.8,24,Rejected,,False,NGO
LOAN_5087e1,FARMER_973,Irrigation,53336,13.34,6,Approved,Partially Paid,False,Microfinance
LOAN_1db719,FARMER_974,Fertilizer,479105,5.17,12,Approved,Defaulted,False,Government
